@relation Credit_Approval-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute 1 {a,b}
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 {l,u,y}
@attribute 5 {g,gg,p}
@attribute 6 {aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute 7 {bb,dd,ff,h,j,n,o,v,z}
@attribute 8 numeric
@attribute 9 {f,t}
@attribute 10 {f,t}
@attribute 11 numeric
@attribute 12 {f,t}
@attribute 13 {g,p,s}
@attribute 14 numeric
@attribute 15 numeric
@attribute class {+,-}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
a,33.67,375,u,g,cc,v,375,f,f,0,f,g,300,44,+,yes,no
b,48.58,205,y,p,k,v,0.25,t,t,11,f,g,380,2732,+,yes,no
b,33.67,1.25,u,g,w,v,1165,f,f,0,f,g,120,0,-,no,yes
a,29.5,1085,y,p,x,v,1,f,f,0,f,g,280,13,-,yes,no
b,30.17,1085,y,p,c,v,0.04,f,f,0,f,g,170,179,-,yes,no
a,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160,0,-,yes,no
b,34.83,2.5,y,p,w,v,3,f,f,0,f,s,200,0,-,no,no
b,31.56817,4,y,p,i,v,85,f,f,0,t,g,411,0,-,no,no
b,20.42,0,u,g,k,bb,0,f,f,0,f,p,184.01477,0,-,no,no
a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0,2,-,no,no
b,34.08,2.5,u,g,c,v,1,f,f,0,f,g,460,16,-,no,no
a,25.25,12.5,u,g,d,v,1,f,f,0,t,g,180,1062,-,no,no
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348,0,-,no,no
b,27.67,0.75,u,g,q,h,165,f,f,0,t,g,220,251,-,no,no
b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,0,228,-,no,no
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160,0,-,no,no
a,33.25,3,y,p,aa,v,2,f,f,0,f,g,180,0,-,no,no
b,28,3,u,g,w,v,0.75,f,f,0,t,g,300,67,-,no,no
a,39.08,4,u,g,c,v,3,f,f,0,f,g,480,0,-,no,no
b,42.75,4085,u,g,aa,v,0.04,f,f,0,f,g,108,100,-,no,yes
b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,640,4000,-,no,yes
b,33.75,2.75,u,g,i,bb,0,f,f,0,f,g,180,0,-,no,no
b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,300,2,-,no,no
b,62.75,7,u,g,e,z,0,f,f,0,f,g,0,12,-,no,no
b,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372,122,-,no,no
b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,200,1210,-,no,no
b,63.33,0.54,u,g,c,v,585,t,t,3,t,g,180,0,-,yes,no
b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,100,3,-,no,no
a,26.17,2,u,g,j,j,0,f,f,0,t,g,276,1,-,no,no
b,22.17,585,y,p,ff,ff,0,f,f,0,f,g,100,0,-,no,no
b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,0,4000,-,no,yes
b,30.75,1585,u,g,d,v,585,f,f,0,t,s,0,0,-,yes,yes
b,36.67,2,u,g,i,v,0.25,f,f,0,t,g,221,0,-,no,no
a,16,165,u,g,aa,v,1,f,t,2,t,g,320,1,-,no,no
b,41.17,1335,u,g,d,v,165,f,f,0,f,g,168,0,-,no,yes
a,19.5,165,u,g,q,v,0.04,f,f,0,t,g,380,0,-,no,no
b,32.42,3,u,g,d,v,165,f,f,0,t,g,120,0,-,no,no
a,36.75,4.71,u,g,ff,ff,0,f,f,0,f,g,160,0,-,no,no
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,100,0,-,no,no
b,23.08,2.5,u,g,ff,ff,85,f,f,0,t,g,100,4208,-,no,yes
b,26.83,0.54,u,g,k,ff,0,f,f,0,f,g,100,0,-,no,no
b,16.92,335,y,p,k,v,0.29,f,f,0,f,s,200,0,-,no,no
b,24.42,2,u,g,e,dd,165,f,t,2,f,g,320,1300,-,no,no
b,42.83,1.25,u,g,m,v,13875,f,t,1,t,g,352,112,-,no,yes
a,22.75,6165,u,g,aa,v,165,f,f,0,f,g,220,1000,-,no,yes
b,39.42,1.71,y,p,m,v,165,f,f,0,f,s,400,0,-,no,no
a,23.58,11.5,y,p,k,h,3,f,f,0,t,g,20,16,-,no,no
b,21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,132,2,-,no,no
b,33,2.5,y,p,w,v,7,f,f,0,t,g,280,0,-,no,no
b,26.33,13,u,g,e,dd,0,f,f,0,t,g,140,1110,-,no,no
a,45,4585,u,g,k,h,1,f,f,0,t,s,240,0,-,no,yes
b,26.25,1.54,u,g,w,v,125,f,f,0,f,g,100,0,-,no,no
a,28.17,585,u,g,aa,v,0.04,f,f,0,f,g,260,1004,-,no,no
a,20.83,0.5,y,p,e,dd,1,f,f,0,f,g,260,0,-,no,no
b,28.67,14.5,u,g,d,v,125,f,f,0,f,g,0,286,-,no,no
b,20.67,835,y,p,c,v,2,f,f,0,t,s,240,0,-,yes,no
b,34.42,1335,u,g,i,bb,125,f,f,0,t,g,440,4500,-,no,yes
b,33.58,0.25,u,g,i,bb,4,f,f,0,t,s,420,0,-,no,no
b,43.17,5,u,g,i,bb,2.25,f,f,0,t,g,141,0,-,no,no
a,22.67,7,u,g,c,v,165,f,f,0,f,g,160,0,-,no,no
a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,200,456,-,no,no
a,56.83,4.25,y,p,ff,ff,5,f,f,0,t,g,0,4,-,no,no
b,22.08,11.46,u,g,k,v,1585,f,f,0,t,g,100,1212,-,no,yes
b,34,5.5,y,p,c,v,1.5,f,f,0,t,g,60,0,-,no,no
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,120,67,-,no,no
b,21.17,0,u,g,c,v,0.5,f,f,0,t,s,0,0,-,no,no
b,26.67,14585,u,g,i,bb,0,f,f,0,t,g,178,0,-,no,yes
b,22.92,0.17,u,g,m,v,85,f,f,0,f,s,0,0,-,no,no
b,15.17,7,u,g,e,v,1,f,f,0,f,g,600,0,-,no,no
b,39.92,5,u,g,i,bb,0.21,f,f,0,f,g,550,0,-,no,no
b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,720,0,-,no,no
b,24.75,0.54,u,g,m,v,1,f,f,0,t,g,120,1,-,no,no
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,0,195,-,no,no
a,33.08,1625,u,g,d,v,0.54,f,f,0,t,g,0,0,-,no,yes
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,128,1,-,no,no
a,23.58,585,y,p,ff,ff,125,f,f,0,f,g,120,87,-,no,no
b,26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,0,17,-,no,no
b,31,2085,u,g,c,v,85,f,f,0,f,g,300,0,-,no,yes
b,20.75,5085,y,p,j,v,0.29,f,f,0,f,g,140,184,-,no,yes
b,28.92,375,u,g,c,v,0.29,f,f,0,f,g,220,140,-,no,no
a,51.92,6.5,u,g,i,bb,3085,f,f,0,t,g,73,0,-,no,yes
a,22.67,335,u,g,q,v,0.75,f,f,0,f,s,160,0,-,no,no
b,34,5085,y,p,i,bb,1085,f,f,0,t,g,480,0,-,no,yes
a,69.5,6,u,g,ff,ff,0,f,f,0,f,s,0,0,-,no,no
a,40.33,8125,y,p,k,v,165,f,t,2,f,g,184.01477,18,-,no,yes
a,19.58,665,y,p,c,v,1,f,t,1,f,g,2000,2,-,yes,yes
b,16,3125,u,g,w,v,85,f,t,1,f,g,0,6,-,no,yes
b,17.08,0.25,u,g,q,v,335,f,t,4,f,g,160,8,-,no,no
b,31.25,2835,u,g,ff,ff,0,f,t,5,f,g,176,146,-,no,yes
b,25.17,3,u,g,c,v,1.25,f,t,1,f,g,0,22,-,no,no
a,22.67,0.79,u,g,i,v,85,f,f,0,f,g,144,0,-,no,no
b,40.58,1.5,u,g,i,bb,0,f,f,0,f,s,300,0,-,no,no
b,22.25,0.46,u,g,k,v,125,f,f,0,t,g,280,55,-,no,no
a,22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,280,0,-,no,no
b,22.5,125,y,p,k,v,125,f,f,0,f,g,200,70,-,no,no
b,23.58,1.79,u,g,c,v,0.54,f,f,0,t,g,136,1,-,no,no
b,38.42,705,u,g,c,v,375,f,t,2,f,g,225,500,-,yes,no
a,26.58,2.54,y,p,ff,ff,0,f,f,0,t,g,180,60,-,no,no
b,35,2.5,u,g,i,v,1,f,f,0,t,g,210,0,-,no,no
b,20.42,1085,u,g,q,v,1.5,f,f,0,f,g,108,7,-,yes,no
b,29.42,1.25,u,g,w,v,1.75,f,f,0,f,g,200,0,-,no,no
b,26.17,835,u,g,cc,v,1165,f,f,0,f,g,100,0,-,yes,yes
b,33.67,2165,u,g,c,v,1.5,f,f,0,f,p,120,0,-,no,yes
b,24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,110,0,-,no,no
a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,180,50,-,no,no
b,37.5,835,u,g,e,v,0.04,f,f,0,f,g,120,5,-,yes,no
b,49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,200,3,-,no,no
b,33.58,335,y,p,cc,v,85,f,f,0,f,g,180,0,-,no,no
b,51.83,3,y,p,ff,ff,1.5,f,f,0,f,g,180,4,-,no,no
b,22.92,3165,y,p,c,v,165,f,f,0,f,g,160,1058,-,no,yes
b,21.83,1.54,u,g,k,v,85,f,f,0,t,g,356,0,-,no,no
b,25.25,1,u,g,aa,v,0.5,f,f,0,f,g,200,0,-,no,no
b,58.58,2.71,u,g,c,v,2415,f,f,0,t,g,320,0,-,no,yes
b,19,0,y,p,ff,ff,0,f,t,4,f,g,45,1,-,no,no
b,19.58,585,u,g,ff,ff,0,f,t,3,f,g,350,769,-,no,no
a,53.33,165,u,g,ff,ff,0,f,f,0,t,s,62,27,-,no,no
a,27.17,1.25,u,g,ff,ff,0,f,t,1,f,g,92,300,-,no,no
b,25.92,875,u,g,k,v,375,f,t,2,t,g,174,3,-,yes,no
b,23.08,0,u,g,k,v,1,f,t,11,f,s,0,0,-,no,no
b,39.58,5,u,g,ff,ff,0,f,t,2,f,g,17,1,-,no,no
b,30.58,2.71,y,p,m,v,125,f,f,0,t,s,80,0,-,no,no
b,17.25,3,u,g,k,v,0.04,f,f,0,t,g,160,40,-,no,no
a,17.67,0,y,p,j,ff,0,f,f,0,f,g,86,0,-,no,no
a,31.56817,11.25,u,g,ff,ff,0,f,f,0,f,g,184.01477,5200,-,no,yes
b,16.5,125,u,g,c,v,165,f,f,0,f,g,132,0,-,no,no
a,27.33,1665,u,g,ff,ff,0,f,f,0,f,g,340,1,-,no,yes
b,31.25,1125,u,g,ff,ff,0,f,t,1,f,g,96,19,-,yes,no
b,20,7,u,g,c,v,0.5,f,f,0,f,g,0,0,-,no,no
b,31.56817,3,y,p,i,bb,7,f,f,0,f,g,0,1,-,no,no
b,39.5,1625,u,g,c,v,1.5,f,f,0,f,g,0,316,-,no,yes
b,36.5,4.25,u,g,q,v,3.5,f,f,0,f,g,454,50,-,no,no
b,29.75,665,u,g,w,v,0.25,f,f,0,t,g,300,0,-,yes,no
b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,0,350,-,no,no
b,36.17,18125,u,g,w,v,85,f,f,0,f,g,320,3552,-,no,yes
b,34.58,0,u,g,c,v,0,f,f,0,f,p,184.01477,0,-,no,no
b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240,0,-,no,no
b,36.17,5.5,u,g,i,bb,5,f,f,0,f,g,210,687,-,no,no
b,25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,160,0,-,no,no
a,24.5,2415,y,p,c,v,0,f,f,0,f,g,120,0,-,no,yes
b,24.08,875,u,g,m,v,85,f,t,4,f,g,254,1950,-,yes,no
b,21.92,0.5,u,g,c,v,125,f,f,0,f,g,360,0,-,no,no
a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,200,18,-,no,no
a,23,1835,u,g,j,j,0,f,t,1,f,g,200,53,-,no,yes
a,27.58,3,u,g,m,v,2.79,f,t,1,t,g,280,10,-,no,no
b,31.08,3085,u,g,c,v,2.5,f,t,2,t,g,160,41,-,no,yes
a,30.42,1375,u,g,w,h,0.04,f,t,3,f,g,0,33,-,no,yes
b,22.08,2335,u,g,k,v,0.75,f,f,0,f,g,180,0,-,no,yes
b,16.33,4085,u,g,i,h,415,f,f,0,t,g,120,0,-,yes,yes
a,21.92,11665,u,g,k,h,85,f,f,0,f,g,320,5,-,no,yes
b,21.08,4125,y,p,i,h,0.04,f,f,0,f,g,140,100,-,no,yes
b,17.42,6.5,u,g,i,v,125,f,f,0,f,g,60,100,-,no,no
b,19.17,4,y,p,i,v,1,f,f,0,t,g,360,1000,-,no,no
b,20.67,415,u,g,c,v,125,f,f,0,f,g,0,44,-,no,no
b,26.75,2,u,g,d,v,0.75,f,f,0,t,g,80,0,-,no,no
b,23.58,835,u,g,i,h,85,f,f,0,t,g,220,5,-,yes,no
b,39.17,2.5,y,p,i,h,10,f,f,0,t,s,200,0,-,no,no
b,22.75,11.5,u,g,i,v,415,f,f,0,f,g,0,0,-,yes,no
a,26.5,2.71,y,p,cc,h,85,f,f,0,f,s,80,0,-,no,no
a,16.92,0.5,u,g,i,v,165,f,t,6,t,g,240,35,-,no,no
b,23.5,3165,y,p,k,v,415,f,t,1,t,g,280,80,-,yes,yes
a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,0,10,-,no,no
b,23.75,415,y,p,c,v,0.04,f,t,2,f,g,128,6,-,no,no
b,34.67,1.08,u,g,m,v,1165,f,f,0,f,s,28,0,-,no,yes
b,74.83,19,y,p,ff,ff,0.04,f,t,2,f,g,0,351,-,no,no
b,28.17,125,y,p,k,v,85,f,f,0,f,g,216,2100,-,yes,no
b,24.5,13335,y,p,aa,v,0.04,f,f,0,t,g,120,475,-,no,yes
b,18.83,3.54,y,p,ff,ff,0,f,f,0,t,g,180,1,-,no,no
b,45.33,1,u,g,q,v,125,f,f,0,t,g,263,0,-,no,no
a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333,892,+,no,no
b,24.17,875,u,g,q,v,4625,t,t,2,t,g,520,2000,+,yes,yes
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,240,4607,+,yes,yes
a,20.5,11835,u,g,c,h,6,t,f,0,f,g,340,0,+,no,yes
a,18.83,4415,y,p,c,h,3,t,f,0,f,g,240,0,+,no,yes
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120,2206,+,yes,no
a,25,875,u,g,x,h,1.04,t,f,0,t,g,160,5860,+,yes,yes
b,20.17,9.25,u,g,c,v,1665,t,t,3,t,g,40,28,+,no,yes
b,25.75,0.5,u,g,c,v,1.46,t,t,5,t,g,312,0,+,no,no
b,20.42,7,u,g,c,v,1625,t,t,3,f,g,200,1391,+,no,yes
b,31.56817,4,u,g,x,v,5,t,t,3,t,g,290,2279,+,yes,no
b,39,5,u,g,cc,v,3.5,t,t,10,t,g,0,0,+,no,no
a,64.08,165,u,g,ff,ff,0,t,t,1,f,g,232,100,+,no,no
b,28.25,5125,u,g,x,v,4.75,t,t,2,f,g,420,7,+,no,yes
a,28.75,3.75,u,g,c,v,1085,t,t,1,t,g,371,0,+,no,yes
b,31.33,19.5,u,g,c,v,7,t,t,16,f,g,0,5000,+,yes,yes
a,18.92,9,u,g,aa,v,0.75,t,t,2,f,g,88,591,+,no,no
a,24.75,3,u,g,q,h,1835,t,t,19,f,g,0,500,+,yes,yes
a,30.67,12,u,g,c,v,2,t,t,1,f,g,220,19,+,no,no
b,21,4.79,y,p,w,v,2.25,t,t,1,t,g,80,300,+,no,no
b,13.75,4,y,p,w,v,1.75,t,t,2,t,g,120,1000,+,no,no
a,46,4,u,g,j,j,0,t,f,0,f,g,100,960,+,no,no
a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,0,0,+,no,no
b,20.25,9.96,u,g,e,dd,0,t,f,0,f,g,0,0,+,no,no
b,22.67,2.54,y,p,c,h,2585,t,f,0,f,g,0,0,+,no,yes
b,31.56817,10.5,u,g,x,v,6.5,t,f,0,f,g,0,0,+,no,no
a,60.92,5,u,g,aa,v,4,t,t,4,f,g,0,99,+,no,no
b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352,690,+,no,no
a,28.17,375,u,g,q,v,585,t,t,4,f,g,80,0,+,yes,no
b,39.17,1.71,u,g,x,v,125,t,t,5,t,g,480,0,+,no,no
a,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160,234,+,no,no
a,30,5.29,u,g,e,dd,2.25,t,t,5,t,g,99,500,+,no,no
b,22.83,3,u,g,m,v,1.29,t,t,1,f,g,260,800,+,no,no
a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80,990,-,no,no
a,28.58,1665,u,g,q,v,2415,t,f,0,t,g,440,0,-,no,yes
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140,0,-,no,no
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,160,0,-,no,no
a,57.08,335,u,g,i,bb,1,t,f,0,t,g,252,2197,-,yes,no
a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100,50,-,no,no
b,43.25,25.21,u,g,q,h,0.21,t,t,1,f,g,760,90,-,no,no
a,25.33,2085,u,g,c,h,2.75,t,f,0,t,g,360,1,-,no,yes
a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400,0,-,no,no
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560,0,-,no,no
b,40.92,835,u,g,ff,ff,0,t,f,0,f,g,130,1,-,yes,no
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,523,0,-,no,no
a,33.92,1585,y,p,ff,ff,0,t,f,0,f,g,320,0,-,no,yes
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,80,0,-,no,no
b,35.25,3165,u,g,x,h,3.75,t,f,0,t,g,680,0,-,no,yes
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163,0,-,no,no
b,80.25,5.5,u,g,c,ff,0.54,t,f,0,f,g,0,340,-,no,no
b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,100,20,-,no,no
b,42.75,3,u,g,i,bb,1,t,f,0,f,g,0,200,-,no,no
b,19.67,10,y,p,k,h,835,t,f,0,t,g,140,0,-,no,yes
b,36.33,3.79,u,g,w,v,1165,t,f,0,t,g,200,0,-,no,yes
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132,28,-,no,no
b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,0,0,-,no,no
b,23.58,0.46,y,p,w,v,2625,t,t,6,t,g,208,347,-,no,yes
b,23.92,1.5,u,g,d,h,1875,t,t,6,f,g,200,327,+,no,yes
b,33.17,1,u,g,x,v,0.75,t,t,7,t,g,340,4071,+,no,yes
b,48.33,12,u,g,m,v,16,t,f,0,f,s,110,0,+,no,no
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0,109,+,no,no
b,51.33,10,u,g,i,bb,0,t,t,11,f,g,0,1249,+,no,no
b,34.75,15,u,g,r,n,5375,t,t,9,t,g,0,134,+,no,yes
b,38.58,3335,u,g,w,v,4,t,t,14,f,g,383,1344,+,yes,yes
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0,321,+,no,no
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,220,948,+,no,no
b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330,0,+,no,no
a,32.17,1.46,u,g,w,v,1085,t,t,16,f,g,120,2079,+,yes,yes
b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,0,3000,+,no,yes
a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140,2384,+,yes,no
a,25,12.33,u,g,cc,h,3.5,t,t,6,f,g,400,458,+,no,no
b,26.75,1125,u,g,x,h,1.25,t,f,0,f,g,0,5298,+,yes,yes
b,23.33,1.5,u,g,c,h,1415,t,f,0,f,g,422,200,+,no,yes
b,24.42,12335,u,g,q,h,1585,t,f,0,t,g,120,0,+,no,yes
b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92,0,+,no,no
a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,100,0,+,no,no
b,23.08,11.5,u,g,w,h,2125,t,t,11,t,g,290,284,+,no,yes
a,25.17,2875,u,g,x,h,875,t,f,0,f,g,360,0,+,no,yes
b,43.08,375,y,p,c,v,375,t,t,8,t,g,300,162,+,yes,no
a,35.75,915,u,g,aa,v,0.75,t,t,4,f,g,0,1583,+,yes,no
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60,58,+,no,no
b,21,3,y,p,d,v,1085,t,t,8,t,g,160,1,+,no,yes
b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840,59,+,no,no
a,65.17,14,u,g,ff,ff,0,t,t,11,t,g,0,1400,+,no,no
a,20.33,10,u,g,c,h,1,t,t,4,f,g,50,1465,+,no,no
b,32.25,165,y,p,c,h,3.25,t,t,1,t,g,432,8000,+,no,yes
b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32,540,+,no,no
b,25.17,6,u,g,c,v,1,t,t,3,f,g,0,0,+,no,no
b,39.17,1625,u,g,c,v,1.5,t,t,10,f,g,186,4700,+,no,yes
b,39.08,6,u,g,m,v,1.29,t,t,5,t,g,108,1097,+,no,no
b,31.67,0.83,u,g,x,v,1335,t,t,8,t,g,303,3290,+,no,yes
b,41,0.04,u,g,e,v,0.04,f,t,1,f,s,560,0,+,no,no
b,48.5,4.25,u,g,m,v,125,t,f,0,t,g,225,0,+,no,no
b,32.67,9,y,p,w,h,5.25,t,f,0,t,g,154,0,+,no,no
a,28.08,15,y,p,e,z,0,t,f,0,f,g,0,13212,+,no,yes
b,73.42,17.75,u,g,ff,ff,0,t,f,0,t,g,0,0,+,no,no
b,64.08,20,u,g,x,h,17.5,t,t,9,t,g,0,1000,+,no,no
b,51.58,15,u,g,c,v,8.5,t,t,9,f,g,0,0,+,no,no
b,26.67,1.75,y,p,c,v,1,t,t,5,t,g,160,5777,+,no,yes
b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96,5124,+,no,yes
b,30.17,6.5,u,g,cc,v,3125,t,t,8,f,g,330,1200,+,no,yes
b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,312,150,+,no,no
b,23.17,0,u,g,q,v,0,f,f,0,f,p,184.01477,0,+,no,no
b,34.17,5.25,u,g,w,v,85,f,f,0,t,g,290,6,+,no,no
b,38.67,0.21,u,g,k,v,85,t,f,0,t,g,280,0,+,no,no
b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349,23,+,no,no
a,46.08,3,u,g,c,v,2375,t,t,8,t,g,396,4159,+,no,yes
a,21.5,6,u,g,aa,v,2.5,t,t,3,f,g,80,918,+,no,no
b,20.08,125,u,g,q,v,1,f,t,1,f,g,240,768,+,no,no
b,20.5,2415,u,g,c,v,2,t,t,11,t,g,200,3000,+,no,yes
a,29.5,0.46,u,g,k,v,0.54,t,t,4,f,g,380,500,+,no,no
b,42.25,1.75,y,p,w,v,0,f,f,0,t,g,150,1,-,no,no
b,29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,224,0,-,no,no
b,20.08,0.25,u,g,q,v,125,f,f,0,f,g,200,0,-,no,no
b,23.42,585,u,g,c,h,85,t,f,0,f,g,180,0,-,no,no
a,29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,280,0,-,no,no
b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0,0,+,no,no
b,32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,232,0,-,no,no
b,31.56817,0.04,y,p,d,v,4.25,f,f,0,t,g,460,0,-,no,no
b,47.83,4165,u,g,x,bb,85,f,f,0,t,g,520,0,-,no,yes
b,20,1.25,y,p,k,v,125,f,f,0,f,g,140,4,-,no,no
b,27.58,3.25,y,p,q,h,5085,f,t,2,t,g,369,1,-,no,yes
b,22,0.79,u,g,w,v,0.29,f,t,1,f,g,420,283,-,no,no
b,19.33,10915,u,g,c,bb,585,f,t,2,t,g,200,7,-,yes,yes
a,38.33,4415,u,g,c,v,125,f,f,0,f,g,160,0,-,no,yes
b,29.42,1.25,u,g,c,h,0.25,f,t,2,t,g,400,108,-,no,no
b,22.67,0.75,u,g,i,v,1585,f,t,1,t,g,400,9,-,no,yes
b,32.25,14,y,p,ff,ff,0,f,t,2,f,g,160,1,-,no,no
b,29.58,4.75,u,g,m,v,2,f,t,1,t,g,460,68,-,no,no
b,18.42,10415,y,p,aa,v,125,t,f,0,f,g,120,375,-,no,yes
b,22.17,2.25,u,g,i,v,125,f,f,0,f,g,160,10,-,no,no
b,22.67,165,u,g,c,j,2.25,f,f,0,t,s,0,0,+,no,no
a,25.58,0,u,g,i,v,0,f,f,0,f,p,184.01477,0,+,no,no
b,18.83,0,u,g,q,v,665,f,f,0,f,g,160,1,-,no,yes
b,21.58,0.79,y,p,cc,v,665,f,f,0,f,g,160,0,-,no,yes
b,23.75,12,u,g,c,v,2085,f,f,0,f,s,80,0,-,no,yes
b,22,7835,y,p,i,bb,165,f,f,0,t,g,184.01477,0,-,no,yes
b,36.08,2.54,u,g,ff,ff,0,f,f,0,f,g,0,1000,-,no,no
b,29.25,13,u,g,d,h,0.5,f,f,0,f,g,228,0,-,no,no
a,19.58,665,u,g,w,v,1665,f,f,0,f,g,220,5,-,yes,yes
a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120,809,-,no,no
a,27.25,0.29,u,g,m,h,125,f,t,1,t,g,272,108,-,no,no
a,38.75,1.5,u,g,ff,ff,0,f,f,0,f,g,76,0,-,no,no
b,32.42,2165,y,p,k,ff,0,f,f,0,f,g,120,0,-,no,yes
a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240,4,-,no,no
b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,160,587,-,no,no
b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130,0,-,no,no
b,19.5,9585,u,g,aa,v,0.79,f,f,0,f,g,80,350,-,no,yes
b,28.58,3625,u,g,aa,v,0.25,f,f,0,t,g,100,0,-,no,yes
b,35.58,0.75,u,g,k,v,1.5,f,f,0,t,g,231,0,-,no,no
b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,232,200,-,no,no
b,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,200,141,-,no,no
b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,320,0,-,no,no
a,52.5,7,u,g,aa,h,3,f,f,0,f,g,0,0,-,no,no
b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,309,2,-,no,no
b,37.33,2665,u,g,cc,v,165,f,f,0,t,g,0,501,-,no,yes
a,20.83,8.5,u,g,c,v,165,f,f,0,f,g,0,351,-,no,no
b,24.08,9,u,g,aa,v,0.25,f,f,0,t,g,0,0,-,no,no
b,25.58,335,u,g,k,h,3.5,f,f,0,t,g,340,0,-,no,no
a,35.17,3.75,u,g,ff,ff,0,f,t,6,f,g,0,200,-,no,no
b,48.08,3.75,u,g,i,bb,1,f,f,0,f,g,100,2,-,no,no
a,15.83,7625,u,g,q,v,125,f,t,1,t,g,0,160,-,no,yes
a,22.5,415,u,g,i,v,335,f,f,0,t,s,144,0,-,no,no
b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,100,68,-,no,no
a,23.58,0.83,u,g,q,v,415,f,t,1,t,g,200,11,-,yes,no
